id,idea_id,seo_run_id,keyword,relevance,word_count,long_tail,score,source,created_at
1850,1,31,rice farming harvesting,0.3333,3,1,47.33,youtube_suggest,2026-09-04 12:07:17.105869
1851,1,31,paddy harvesting machine,0.3333,3,1,47.33,youtube_suggest,2026-09-04 12:07:17.105869
1852,1,31,paddy harvesting hand machine,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1853,1,31,rice harvesting brush cutter,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1854,1,31,best paddy harvesting machine,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1855,1,31,paddy harvesting chain machine,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1856,1,31,paddy harvester chain wala,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1857,1,31,harvesting paddy drawing easy,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1858,1,31,drone paddy harvesting machine,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1859,1,31,paddy harvester kya hai,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1860,1,31,paddy harvesting machine working,0.2857,4,1,46.0,youtube_suggest,2026-09-04 12:07:17.105869
1861,2,32,paddy harvesting in china,0.4,4,1,54.0,youtube_suggest,2026-09-05 04:41:00.235200
1862,2,32,paddy harvesting in japan,0.4,4,1,54.0,youtube_suggest,2026-09-05 04:41:00.235200
1863,2,32,paddy harvesting by hand,0.4,4,1,54.0,youtube_suggest,2026-09-05 04:41:00.235200
1864,2,32,paddy harvesting drawing,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.236349
1865,2,32,paddy harvesting time,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.236879
1866,2,32,paddy harvesting videos,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.236879
1867,2,32,paddy harvesting tractor,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.236879
1868,2,32,after paddy harvesting,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.236879
1869,2,32,paddy crop harvesting,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.237879
1870,2,32,paddy harvesting drone,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.237879
1871,2,32,harvesting paddy fields,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.237879
1872,2,32,paddy harvesting machine,0.4,3,1,52.0,youtube_suggest,2026-09-05 04:41:00.238878
1873,2,32,paddy harvesting machines in agriculture,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.238878
1874,2,32,paddy harvesting machine in japan,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.238878
1875,2,32,paddy harvesting by brush cutter,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.238878
1876,2,32,paddy harvesting in west bengal,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.239877
1877,2,32,paddy harvesting machine in india,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.239877
1878,2,32,paddy harvesting machine in manipur,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.239877
1879,2,32,paddy harvesting machine in odisha,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.239877
1880,2,32,paddy harvesting machine in assam,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.240876
1881,2,32,paddy cutting and harvesting machine,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.240876
1882,2,32,paddy harvesting machine in tamil,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.240876
1883,2,32,paddy harvesting machine in karnataka,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.241879
1884,2,32,paddy harvesting machine in water,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.241879
1885,2,32,wheat and paddy harvesting machine,0.3333,5,1,51.33,youtube_suggest,2026-09-05 04:41:00.241879
1886,2,32,best paddy harvesting machine in india,0.2857,6,1,50.0,youtube_suggest,2026-09-05 04:41:00.241879
1887,2,32,paddy harvesting machine in west bengal,0.2857,6,1,50.0,youtube_suggest,2026-09-05 04:41:00.242879
1888,2,32,paddy harvesting machine in india price,0.2857,6,1,50.0,youtube_suggest,2026-09-05 04:41:00.242879
1889,2,32,paddy harvesting machine in sri lanka,0.2857,6,1,50.0,youtube_suggest,2026-09-05 04:41:00.242879
1890,2,32,paddy harvesting machine price in india,0.2857,6,1,50.0,youtube_suggest,2026-09-05 04:41:00.242879
1891,2,32,paddy harvesting hand machine,0.3333,4,1,49.33,youtube_suggest,2026-09-05 04:41:00.243880
1892,2,32,best paddy harvesting machine,0.3333,4,1,49.33,youtube_suggest,2026-09-05 04:41:00.243880
