id,uuid,idea_id,prompt_id,job_type,provider,model,status,priority,attempt_count,max_attempts,started_at,completed_at,error_code,error_message,request_data,response_data,created_at
1,a0bf3968-471d-4eea-b954-26e0455310a8,1,19,image_generation,google_flow,gem_pix_2,completed,1,0,3,,2026-08-11 17:58:28.482266,,,{},{},2026-08-11 17:58:28.487256
2,f1d50c11-7031-4108-9d47-365a4d7da601,1,20,video_generation,google_flow,veo_3_1_i2v,completed,1,0,3,,2026-08-11 17:58:28.487256,,,{},{},2026-08-11 17:58:28.487256
